iter	Passed	Remaining
691	11087	28968
692	11103	28952
693	11119	28935
694	11135	28921
695	11151	28903
696	11167	28889
697	11183	28873
698	11199	28856
699	11215	28839
700	11230	28821
701	11246	28805
702	11262	28789
703	11278	28773
704	11296	28761
705	11311	28742
706	11327	28727
707	11345	28715
708	11361	28700
709	11376	28682
710	11392	28665
711	11408	28648
712	11423	28631
713	11440	28617
714	11456	28601
715	11473	28588
716	11489	28571
717	11505	28556
718	11521	28539
719	11537	28523
720	11553	28507
721	11570	28492
722	11586	28477
723	11602	28462
724	11618	28444
725	11633	28427
726	11648	28409
727	11663	28390
728	11678	28370
729	11694	28354
730	11709	28335
731	11723	28316
732	11738	28298
733	11752	28277
734	11767	28258
735	11783	28240
736	11797	28222
737	11812	28201
738	11826	28181
739	11844	28169
740	11859	28151
741	11873	28132
742	11888	28113
743	11902	28092
744	11918	28076
745	11936	28064
746	11952	28048
747	11968	28033
748	11984	28016
749	11998	27997
750	12014	27980
751	12029	27961
752	12043	27942
753	12058	27922
754	12073	27904
755	12088	27887
756	12103	27867
757	12118	27849
758	12133	27831
759	12148	27813
760	12162	27793
761	12178	27778
762	12194	27761
763	12209	27743
764	12225	27727
765	12240	27708
766	12255	27689
767	12271	27674
768	12286	27655
769	12300	27635
770	12316	27619
771	12330	27600
772	12346	27583
773	12360	27563
774	12374	27543
775	12390	27526
776	12406	27510
777	12420	27490
778	12434	27471
779	12449	27453
780	12463	27432
781	12477	27412
782	12491	27392
783	12507	27375
784	12523	27359
785	12538	27341
786	12552	27322
787	12566	27302
788	12581	27283
789	12595	27264
790	12611	27247
791	12626	27228
792	12640	27209
793	12654	27189
794	12669	27171
795	12685	27155
796	12700	27137
797	12715	27120
798	12731	27104
799	12745	27084
800	12759	27064
801	12774	27045
802	12788	27026
803	12803	27009
804	12818	26990
805	12838	26982
806	12852	26962
807	12866	26942
808	12880	26923
809	12894	26904
810	12910	26887
811	12924	26868
812	12940	26850
813	12954	26832
814	12968	26812
815	12982	26792
816	12996	26772
817	13011	26755
818	13026	26737
819	13042	26721
820	13057	26702
821	13071	26683
822	13087	26667
823	13101	26648
824	13115	26629
825	13130	26610
826	13145	26592
827	13159	26574
828	13174	26556
829	13189	26537
830	13205	26521
831	13218	26501
832	13233	26482
833	13249	26466
834	13263	26447
835	13277	26428
836	13293	26411
837	13307	26391
838	13322	26374
839	13338	26359
840	13354	26342
841	13368	26324
842	13384	26308
843	13400	26292
844	13415	26275
845	13429	26256
846	13444	26238
847	13458	26219
848	13473	26202
849	13489	26184
850	13502	26164
851	13517	26147
852	13534	26132
853	13548	26113
854	13563	26096
855	13578	26078
856	13594	26061
857	13608	26043
858	13623	26026
859	13638	26008
860	13653	25989
861	13668	25972
862	13683	25955
863	13697	25937
864	13713	25920
865	13728	25902
866	13743	25886
867	13759	25870
868	13775	25854
869	13790	25837
870	13805	25820
871	13821	25803
872	13837	25788
873	13853	25772
874	13868	25756
875	13882	25736
876	13896	25717
877	13910	25698
878	13924	25678
879	13940	25662
880	13954	25644
881	13968	25625
882	13983	25608
883	13998	25589
884	14012	25570
885	14026	25552
886	14040	25532
887	14054	25513
888	14068	25494
889	14084	25478
890	14099	25460
891	14113	25442
892	14129	25426
893	14145	25410
894	14159	25392
895	14174	25374
896	14187	25353
897	14201	25335
898	14217	25319
899	14232	25301
900	14247	25285
901	14263	25269
902	14279	25253
903	14294	25236
904	14309	25220
905	14323	25201
906	14339	25185
907	14354	25168
908	14370	25151
909	14385	25134
910	14399	25115
911	14413	25097
912	14427	25079
913	14442	25061
914	14457	25044
915	14472	25026
916	14487	25009
917	14503	24994
918	14519	24978
919	14534	24961
920	14550	24945
921	14566	24929
922	14581	24914
923	14598	24898
924	14612	24881
925	14627	24864
926	14643	24848
927	14659	24833
928	14675	24816
929	14690	24799
930	14706	24784
931	14721	24767
932	14738	24753
933	14754	24737
934	14770	24722
935	14785	24706
936	14801	24690
937	14817	24673
938	14834	24660
939	14850	24645
940	14867	24631
941	14883	24615
942	14899	24600
943	14914	24584
944	14930	24568
945	14946	24552
946	14961	24535
947	14977	24519
948	14991	24502
949	15008	24488
